Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2010","2010","g","19940","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2011","2011","g","17470","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2012","2012","g","17773","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2013","2013","g","15633","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2014","2014","g","19731","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2015","2015","g","19277","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2016","2016","g","19823","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2017","2017","g","22386","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2018","2018","g","22953","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2019","2019","g","23437.22","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","681","Fat supply quantity (g)","F2511","Wheat and products","2020","2020","g","24279.36","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2010","2010","1000 t","86","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2011","2011","1000 t","111","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2012","2012","1000 t","138","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2013","2013","1000 t","125","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2014","2014","1000 t","112","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2015","2015","1000 t","116","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2016","2016","1000 t","102","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2017","2017","1000 t","81","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2018","2018","1000 t","113","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2019","2019","1000 t","161","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5511","Production","F2807","Rice and products","2020","2020","1000 t","181","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2010","2010","1000 t","252","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2011","2011","1000 t","452","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2012","2012","1000 t","697","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2013","2013","1000 t","595","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2014","2014","1000 t","872","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2015","2015","1000 t","718","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2016","2016","1000 t","951","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2017","2017","1000 t","851","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2018","2018","1000 t","836","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2019","2019","1000 t","954","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2807","Rice and products","2020","2020","1000 t","940","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2010","2010","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2011","2011","1000 t","4","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2012","2012","1000 t","4","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2013","2013","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2014","2014","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2015","2015","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2016","2016","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2017","2017","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2018","2018","1000 t","6","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2019","2019","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2807","Rice and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2010","2010","1000 t","396","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2011","2011","1000 t","482","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2012","2012","1000 t","837","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2013","2013","1000 t","671","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2014","2014","1000 t","1025","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2015","2015","1000 t","831","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2016","2016","1000 t","985","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2017","2017","1000 t","1001","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2018","2018","1000 t","955","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2019","2019","1000 t","1104","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2807","Rice and products","2020","2020","1000 t","1169","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2010","2010","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2011","2011","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2012","2012","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2013","2013","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2014","2014","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2015","2015","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2016","2016","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2807","Rice and products","2017","2017","1000 t","0","I","Imputed value"
